concentration,concentration_in_M,morphine_current,UK_current
10nM,0.00000001,38.9532,253.8691
10nM,0.00000001,39.3295,204.2507
30nM,0.00000003,96.5291,252.8827
30nM,0.00000003,45.1487,171.4494
100nM,0.0000001,122.3897,210.8151
100nM,0.0000001,46.4275,118.0042
100nM,0.0000001,45.5078,226.7183
300nM,0.0000003,61.5691,109.9693
300nM,0.0000003,224.5378,385.8744
300nM,0.0000003,305.9112,465.7898
1uM,0.000001,255.824,415.6236
1uM,0.000001,265.9273,388.3439
1uM,0.000001,158.8949,244.5532
3uM,0.000003,71.3342,143.3893
3uM,0.000003,160.8931,217.0966
3uM,0.000003,169.1681,264.1692
10uM,0.00001,292.3663,435.6473
10uM,0.00001,100.2587,184.3282
10uM,0.00001,72.2208,127.7343
