id,common_name,mass,cells,neurons,non-neurons,brain_region
CF1,Rook,0.307,56550000,6157667,50392333,diencephalon
CF2,Rook,0.327,66960000,9106560,57853440,diencephalon
CF3,Rook,0.331,61333333,7421333,53912000,diencephalon
CM1,Jackdaw,0.258,50066667,5106800,44959867,diencephalon
CM2,Jackdaw,0.281,64160000,7221195,56938805,diencephalon
CM4,Jackdaw,0.302,60281250,8137969,52143281,diencephalon
CX1,Raven,0.479,91133333,8293133,82840200,diencephalon
CX2,Raven,0.579,100200000,8554858,91645142,diencephalon
CX4,Raven,0.651,123690000,13605900,110084100,diencephalon
CY1,Azure-Winged Magpie,0.181,41778750,5932583,35846168,diencephalon
CY2,Azure-Winged Magpie,0.161,26600000,4043200,22556800,diencephalon
GG1,Eurasian Jay,0.257,58400000,7124800,51275200,diencephalon
GG4,Eurasian Jay,0.24,49900000,5988000,43912000,diencephalon
GG5,Eurasian Jay,0.255,55480000,7133143,48346857,diencephalon
GR1,Hill Mynah,0.189,38866667,5052667,33814000,diencephalon
GR2,Hill Mynah,0.179,43541667,4746042,38795625,diencephalon
PM1,Great Tit,0.055,11031250,2757813,8273438,diencephalon
PM2,Great Tit,0.059,14924000,3556887,11367113,diencephalon
PM4,Great Tit,0.055,15340000,4097971,11242029,diencephalon
PP1,Magpie,0.253,49875000,5580420,44294580,diencephalon
PP2,Magpie,0.256,62560000,7820000,54740000,diencephalon
PP6,Magpie,0.28,59040000,7084800,51955200,diencephalon
RR1,Goldcrest,0.023,6493750,2824781,3668969,diencephalon
RR2,Goldcrest,0.022,6176250,2532263,3643988,diencephalon
RR3,Goldcrest,0.026,7775000,2821214,4953786,diencephalon
SV1,Starling,0.112,26180000,3822280,22357720,diencephalon
SV5,Starling,0.121,28036667,4962490,23074177,diencephalon
SV6,Starling,0.106,23296000,3222613,20073387,diencephalon
SA2,Blackcap,0.054,13401667,3257717,10143949,diencephalon
SA4,Blackcap,0.058,11768750,2877167,8891583,diencephalon
SA6,Blackcap,0.058,13650000,3310218,10339782,diencephalon
TG2,Zebra Finch,0.033,7533333,2280422,5252912,diencephalon
TG7,Zebra Finch,0.025,6545000,2042567,4502433,diencephalon
TG10,Zebra Finch,0.037,9450000,2864077,6585923,diencephalon
TM1,Blackbird,0.137,27743333,4577650,23165683,diencephalon
TM2,Blackbird,0.128,28455000,4581255,23873745,diencephalon
TM3,Blackbird,0.109,27220000,3629333,23590667,diencephalon
AA1,Blue and Yellow Macaw,0.783,122950000,7849885,115100115,diencephalon
CT1,Sulphur-Crested Cockatoo,0.496,99620000,12054020,87565980,diencephalon
CG1,Goffin's Cockatoo,0.368,65950000,6374462,59575538,diencephalon
CG2,Goffin's Cockatoo,0.431,80343750,6890666,73453084,diencephalon
FP1,Green-Rumped Parrotlet,0.065,14049000,2851947,11197053,diencephalon
FP3,Green-Rumped Parrotlet,0.066,14600000,3109800,11490200,diencephalon
FP4,Green-Rumped Parrotlet,0.071,16946667,3796053,13150613,diencephalon
MU1,Budgerigar,0.076,20250000,3523500,16726500,diencephalon
MU3,Budgerigar,0.068,15000000,3240000,11760000,diencephalon
MU5,Budgerigar,0.091,21225000,3247425,17977575,diencephalon
MM1,Monk Parakeet,0.162,39013333,5227787,33785547,diencephalon
MM2,Monk Parakeet,0.155,39925000,5827318,34097682,diencephalon
MM3,Monk Parakeet,0.17,38100000,3276600,34823400,diencephalon
NK1,Kea,0.504,80979167,7126167,73853000,diencephalon
NH1,Cockatiel,0.124,23080000,2355953,20724047,diencephalon
NH3,Cockatiel,0.112,28560000,5540640,23019360,diencephalon
NH4,Cockatiel,0.122,21760000,3010277,18749723,diencephalon
RP2,Eastern Rosella,0.143,26290000,3530371,22759629,diencephalon
RP3,Eastern Rosella,0.147,32500000,4290000,28210000,diencephalon
RP4,Eastern Rosella,0.145,36510000,5074890,31435110,diencephalon
PL1,Alexandrine Parakeet,0.307,59565000,6264316,53300684,diencephalon
PL2,Alexandrine Parakeet,0.264,47775000,4538625,43236375,diencephalon
PL3,Alexandrine Parakeet,0.306,51870000,4668300,47201700,diencephalon
PE1,Grey Parrot,0.376,73410000,4828684,68581316,diencephalon
PE2,Grey Parrot,0.487,84968750,8666813,76301938,diencephalon
CL2,Rock Pigeon,0.196,38825000,2445975,36379025,diencephalon
CL3,Rock Pigeon,0.187,40998750,2377928,38620823,diencephalon
CL8,Rock Pigeon,0.187,39171429,3608322,35563106,diencephalon
BK1,Red Junglefowl,0.261,48650000,4840796,43809204,diencephalon
BK2,Red Junglefowl,0.234,39027273,3867248,35160025,diencephalon
BK4,Red Junglefowl,0.241,39625000,3346111,36278889,diencephalon
TA1,Barn Owl,0.342,53381250,7667489,45713761,diencephalon
TA2,Barn Owl,0.356,63270000,8667990,54602010,diencephalon
TA3,Barn Owl,0.344,55201250,6292943,48908308,diencephalon
DN1,Emu,1.167,125533333,8473500,117059833,diencephalon
DN2,Emu,1.269,143400000,11973900,131426100,diencephalon
