id,common_name,mass,cells,neurons,non-neurons,brain_region
CF1,Rook,0.418,136800000,45144000,91656000,tectum
CF2,Rook,0.441,120080000,44429600,75650400,tectum
CF3,Rook,0.415,110000000,38600000,71400000,tectum
CM1,Jackdaw,0.334,89600000,36138667,53461333,tectum
CM2,Jackdaw,0.332,101791667,45195500,56596167,tectum
CM4,Jackdaw,0.351,94500000,41485500,53014500,tectum
CX1,Raven,0.543,145000000,47270000,97730000,tectum
CX2,Raven,0.641,137250000,40541953,96708047,tectum
CX4,Raven,0.685,191100000,55146000,135954000,tectum
CY1,Azure-Winged Magpie,0.231,76583333,34922000,41661333,tectum
CY2,Azure-Winged Magpie,0.203,71133333,35768178,35365156,tectum
GG1,Eurasian Jay,0.348,96950000,43530550,53419450,tectum
GG4,Eurasian Jay,0.409,116300000,47901063,68398938,tectum
GG5,Eurasian Jay,0.352,103455000,46406957,57048043,tectum
GR1,Hill Mynah,0.335,104920000,47738600,57181400,tectum
GR2,Hill Mynah,0.31,107850000,48208950,59641050,tectum
PM1,Great Tit,0.078,28665000,16610788,12054212,tectum
PM2,Great Tit,0.063,25714000,15145546,10568454,tectum
PM4,Great Tit,0.078,27768000,16799640,10968360,tectum
PP1,Magpie,0.34,105300000,38166498,67133502,tectum
PP2,Magpie,0.278,102000000,39576000,62424000,tectum
PP6,Magpie,0.337,112875000,43569750,69305250,tectum
RR1,Goldcrest,0.047,23420000,16888526,6531474,tectum
RR2,Goldcrest,0.047,25320000,18420300,6899700,tectum
RR3,Goldcrest,0.04,22290000,15647580,6642420,tectum
SV1,Starling,0.15,53250000,25359653,27890347,tectum
SV5,Starling,0.171,51916667,26010250,25906417,tectum
SV6,Starling,0.143,50092000,24945816,25146184,tectum
SA2,Blackcap,0.074,32427500,17007430,15420070,tectum
SA4,Blackcap,0.068,22633333,12702958,9930375,tectum
SA6,Blackcap,0.071,27202500,16313026,10889474,tectum
TG2,Zebra Finch,0.043,16380000,10049080,6330920,tectum
TG7,Zebra Finch,0.045,19222500,10980853,8241647,tectum
TG10,Zebra Finch,0.04,17637500,10825016,6812484,tectum
TM1,Blackbird,0.168,55405000,24278596,31126404,tectum
TM2,Blackbird,0.168,58507500,31008975,27498525,tectum
TM3,Blackbird,0.179,64423333,29505887,34917447,tectum
AA1,Blue and Yellow Macaw,0.506,98166667,31217000,66949667,tectum
CT1,Sulphur-Crested Cockatoo,0.304,74951250,27057401,47893849,tectum
CG1,Goffin's Cockatoo,0.287,72500000,24142500,48357500,tectum
CG2,Goffin's Cockatoo,0.289,68920000,21280080,47639920,tectum
FP1,Green-Rumped Parrotlet,0.07,20587500,10664325,9923175,tectum
FP3,Green-Rumped Parrotlet,0.065,27200000,12620800,14579200,tectum
FP4,Green-Rumped Parrotlet,0.063,23800000,11037250,12762750,tectum
MU1,Budgerigar,0.071,29550000,13267950,16282050,tectum
MU3,Budgerigar,0.075,27350000,12553650,14796350,tectum
MU5,Budgerigar,0.073,20025000,9351675,10673325,tectum
MM1,Monk Parakeet,0.146,44793750,18365438,26428313,tectum
MM2,Monk Parakeet,0.155,40625000,16940625,23684375,tectum
MM3,Monk Parakeet,0.148,40256000,17175893,23080107,tectum
NK1,Kea,0.372,66750000,26566500,40183500,tectum
NH1,Cockatiel,0.137,35280000,15946560,19333440,tectum
NH3,Cockatiel,0.125,39760000,17295600,22464400,tectum
NH4,Cockatiel,0.144,31650000,15097050,16552950,tectum
RP2,Eastern Rosella,0.186,44925000,14001625,30923375,tectum
RP3,Eastern Rosella,0.18,51075000,18897750,32177250,tectum
RP4,Eastern Rosella,0.158,48613333,18047700,30565633,tectum
PL1,Alexandrine Parakeet,0.237,60800000,20672000,40128000,tectum
PL2,Alexandrine Parakeet,0.232,85140000,28436760,56703240,tectum
PL3,Alexandrine Parakeet,0.25,65040000,19728800,45311200,tectum
PE1,Grey Parrot,0.307,66500000,19103636,47396364,tectum
PE2,Grey Parrot,0.356,79050000,22687350,56362650,tectum
CL2,Rock Pigeon,0.285,65573333,24590000,40983333,tectum
CL3,Rock Pigeon,0.264,63150000,20760563,42389438,tectum
CL8,Rock Pigeon,0.296,67208333,25942417,41265917,tectum
BK1,Red Junglefowl,0.356,75150000,28782450,46367550,tectum
BK2,Red Junglefowl,0.32,63300000,25446600,37853400,tectum
BK4,Red Junglefowl,0.359,74200000,22260000,51940000,tectum
TA1,Barn Owl,0.186,30875000,7925134,22949866,tectum
TA2,Barn Owl,0.193,38066667,9935400,28131267,tectum
TA3,Barn Owl,0.197,35218750,10143000,25075750,tectum
DN1,Emu,1.076,143200000,31074400,112125600,tectum
DN2,Emu,1.291,171500000,36358000,135142000,tectum
