id,common_name,mass,cells,neurons,non-neurons,brain_region
CF1,Rook,6.401,1540800000,983910857,556889143,telencephalon
CF2,Rook,6.894,1491200000,847001600,644198400,telencephalon
CF3,Rook,6.649,1408160000,922645118,485514882,telencephalon
CM1,Jackdaw,4.567,859500000,498510000,360990000,telencephalon
CM2,Jackdaw,4.589,840800000,511206400,329593600,telencephalon
CM4,Jackdaw,4.96,1023966667,614380000,409586667,telencephalon
CX1,Raven,11.244,2182500000,1324777500,857722500,telencephalon
CX2,Raven,11.785,2004166667,1302306697,701859970,telencephalon
CX4,Raven,10.891,2251250000,1438923958,812326042,telencephalon
CY1,Azure-Winged Magpie,2.877,659600000,428740000,230860000,telencephalon
CY2,Azure-Winged Magpie,2.311,690312500,479767188,210545313,telencephalon
GG1,Eurasian Jay,3.059,998666667,749000000,249666667,telencephalon
GG4,Eurasian Jay,3.371,898000000,579210000,318790000,telencephalon
GG5,Eurasian Jay,3.651,752400000,473259600,279140400,telencephalon
GR1,Hill Mynah,2.789,724080000,519165360,204914640,telencephalon
GR2,Hill Mynah,2.365,642950000,449422050,193527950,telencephalon
PM1,Great Tit,0.675,141288000,86256410,55031590,telencephalon
PM2,Great Tit,0.624,120400000,75450667,44949333,telencephalon
PM4,Great Tit,0.725,207780000,127438400,80341600,telencephalon
PP1,Magpie,4.52,803500000,477416703,326083297,telencephalon
PP2,Magpie,3.593,794640000,487908960,306731040,telencephalon
PP6,Magpie,4.466,845600000,528500000,317100000,telencephalon
RR1,Goldcrest,0.207,90960000,74132400,16827600,telencephalon
RR2,Goldcrest,0.218,101010000,82626180,18383820,telencephalon
RR3,Goldcrest,0.25,97840000,71618880,26221120,telencephalon
SV1,Starling,1.306,333900000,213335027,120564973,telencephalon
SV5,Starling,1.287,438840000,333079560,105760440,telencephalon
SV6,Starling,1.269,343650000,224836631,118813369,telencephalon
SA2,Blackcap,0.528,106840000,64987835,41852165,telencephalon
SA4,Blackcap,0.475,89050000,52836333,36213667,telencephalon
SA6,Blackcap,0.544,102650000,61308416,41341584,telencephalon
TG2,Zebra Finch,0.35,94740000,64522134,30217866,telencephalon
TG7,Zebra Finch,0.3,96250000,67567500,28682500,telencephalon
TG10,Zebra Finch,0.332,89680000,61899429,27780571,telencephalon
TM1,Blackbird,1.386,243500000,149133218,94366782,telencephalon
TM2,Blackbird,1.146,249625000,151023125,98601875,telencephalon
TM3,Blackbird,1.282,297833333,172743333,125090000,telencephalon
AA1,Blue and Yellow Macaw,17.565,3842417500,2459147200,1383270300,telencephalon
CT1,Sulphur-Crested Cockatoo,8.072,2179224167,1490589330,688634837,telencephalon
CG1,Goffin's Cockatoo,6.385,1186920000,647464860,539455140,telencephalon
CG2,Goffin's Cockatoo,6.992,1332240000,782691000,549549000,telencephalon
FP1,Green-Rumped Parrotlet,0.894,207666667,124600000,83066667,telencephalon
FP3,Green-Rumped Parrotlet,0.818,201040000,115598000,85442000,telencephalon
FP4,Green-Rumped Parrotlet,0.84,202860000,122324580,80535420,telencephalon
MU1,Budgerigar,0.891,285333333,184688485,100644848,telencephalon
MU3,Budgerigar,0.965,295029500,190589057,104440443,telencephalon
MU5,Budgerigar,0.949,287300000,182722800,104577200,telencephalon
MM1,Monk Parakeet,2.74,816075000,559827450,256247550,telencephalon
MM2,Monk Parakeet,2.471,730800000,448711200,282088800,telencephalon
MM3,Monk Parakeet,2.78,661866667,420947200,240919467,telencephalon
NK1,Kea,11.382,2351672333,1630492818,721179516,telencephalon
NH1,Cockatiel,1.648,420166667,277730167,142436500,telencephalon
NH3,Cockatiel,1.507,477600000,348648000,128952000,telencephalon
NH4,Cockatiel,1.695,436000000,279040000,156960000,telencephalon
RP2,Eastern Rosella,1.963,483125000,331871878,151253122,telencephalon
RP3,Eastern Rosella,1.998,718000000,486086000,231914000,telencephalon
RP4,Eastern Rosella,2.067,598500000,400995000,197505000,telencephalon
PL1,Alexandrine Parakeet,4.508,1155150000,812805545,342344455,telencephalon
PL2,Alexandrine Parakeet,3.932,971500000,645076000,326424000,telencephalon
PL3,Alexandrine Parakeet,4.73,1046400000,654000000,392400000,telencephalon
PE1,Grey Parrot,6.421,1700142857,1095742071,604400786,telencephalon
PE2,Grey Parrot,7.524,1800800000,1199332800,601467200,telencephalon
CL2,Rock Pigeon,1.2,187600000,76290667,111309333,telencephalon
CL3,Rock Pigeon,1.047,149855000,67284895,82570105,telencephalon
CL8,Rock Pigeon,1.039,218661864,106488328,112173536,telencephalon
BK1,Red Junglefowl,1.745,210210000,76201125,134008875,telencephalon
BK2,Red Junglefowl,1.549,214166667,73887500,140279167,telencephalon
BK4,Red Junglefowl,1.408,192937500,71290406,121647094,telencephalon
TA1,Barn Owl,3.764,786000000,451876404,334123596,telencephalon
TA2,Barn Owl,4.304,766666667,441216667,325450000,telencephalon
TA3,Barn Owl,4.356,825550000,468086850,357463150,telencephalon
DN1,Emu,13.166,1281600000,469065600,812534400,telencephalon
DN2,Emu,15.309,1392266667,474066800,918199867,telencephalon
