id,common_name,mass,cells,neurons,non-neurons,brain_region
CF1,Rook,8.06,2430200000,1549231524,880968476,whole brain
CF2,Rook,8.68,2405490000,1473216160,932273840,whole brain
CF3,Rook,8.33,2257131429,1503713918,753417510,whole brain
CM1,Jackdaw,5.83,1448356667,898829577,549527090,whole brain
CM2,Jackdaw,5.86,1453310000,914302312,539007688,whole brain
CM4,Jackdaw,6.37,1700047917,1090823169,609224748,whole brain
CX1,Raven,13.81,3403716667,2118163089,1285553578,whole brain
CX2,Raven,14.78,3270788095,2140248032,1130540063,whole brain
CX4,Raven,13.82,3566080179,2253621636,1312458543,whole brain
CY1,Azure-Winged Magpie,3.74,1113782083,740835523,372946561,whole brain
CY2,Azure-Winged Magpie,3.05,1066385833,740342765,326043068,whole brain
GG1,Eurasian Jay,4.28,1711441667,1262925321,448516346,whole brain
GG4,Eurasian Jay,4.63,1552483333,1039435404,513047929,whole brain
GG5,Eurasian Jay,4.89,1445600000,953907413,491692587,whole brain
GR1,Hill Mynah,3.93,1321526667,938212783,383313883,whole brain
GR2,Hill Mynah,3.41,1252317500,874042108,378275392,whole brain
PM1,Great Tit,0.94,297346125,195102454,102243671,whole brain
PM2,Great Tit,0.88,304384000,202812244,101571756,whole brain
PM4,Great Tit,1.01,422518000,280031778,142486222,whole brain
PP1,Magpie,5.78,1394820833,845818632,549002202,whole brain
PP2,Magpie,4.71,1404949167,886774065,518175102,whole brain
PP6,Magpie,5.78,1499960000,959227925,540732075,whole brain
RR1,Goldcrest,0.34,198313750,158024587,40289163,whole brain
RR2,Goldcrest,0.35,214272917,173838126,40434791,whole brain
RR3,Goldcrest,0.38,211501250,159758504,51742746,whole brain
SV1,Starling,1.85,669221500,439970113,229251387,whole brain
SV5,Starling,1.9,786283333,584012571,202270762,whole brain
SV6,Starling,1.81,638935000,423532294,215402706,whole brain
SA2,Blackcap,0.79,253599167,159226175,94372992,whole brain
SA4,Blackcap,0.73,212988750,136688822,76299928,whole brain
SA6,Blackcap,0.8,262422083,174268094,88153989,whole brain
TG2,Zebra Finch,0.52,201731667,139697180,62034487,whole brain
TG7,Zebra Finch,0.45,186255000,128101320,58153680,whole brain
TG10,Zebra Finch,0.51,199205000,140129798,59075202,whole brain
TM1,Blackbird,2,538000833,329421946,208578888,whole brain
TM2,Blackbird,1.77,607438333,402535390,204902943,whole brain
TM3,Blackbird,1.89,660510000,406280887,254229113,whole brain
AA1,Blue and Yellow Macaw,20.7297,4935815417,3135785303,1800030113,whole brain
CT1,Sulphur-Crested Cockatoo,10.1307,3123732917,2121927189,1001805728,whole brain
CG1,Goffin's Cockatoo,7.8875,1852578333,1088556447,764021887,whole brain
CG2,Goffin's Cockatoo,8.6623,2053053750,1232627846,820425904,whole brain
FP1,Green-Rumped Parrotlet,1.1913,361394417,230813788,130580628,whole brain
FP3,Green-Rumped Parrotlet,1.1081,367518333,227571733,139946600,whole brain
FP4,Green-Rumped Parrotlet,1.1398,357726810,223227763,134499046,whole brain
MU1,Budgerigar,1.2694,489275000,313176818,176098182,whole brain
MU3,Budgerigar,1.3402,505444500,333673740,171770760,whole brain
MU5,Budgerigar,1.3399,498900000,318614956,180285044,whole brain
MM1,Monk Parakeet,3.4795,1165972500,772542837,393429663,whole brain
MM2,Monk Parakeet,3.2314,1110291667,695714246,414577421,whole brain
MM3,Monk Parakeet,3.5504,994502667,622038393,372464273,whole brain
NK1,Kea,13.5916,3124247333,2148672996,975574338,whole brain
NH1,Cockatiel,2.2462,669443333,433946013,235497320,whole brain
NH3,Cockatiel,2.0575,727620000,503597240,224022760,whole brain
NH4,Cockatiel,2.3121,665216667,420753687,244462980,whole brain
RP2,Eastern Rosella,2.6793,851385000,583604467,267780533,whole brain
RP3,Eastern Rosella,2.735,1093341667,731791624,361550043,whole brain
RP4,Eastern Rosella,2.7333,935420000,610241025,325178975,whole brain
PL1,Alexandrine Parakeet,5.8477,1767355000,1199357601,567997399,whole brain
PL2,Alexandrine Parakeet,5.1504,1601655000,1054346896,547308104,whole brain
PL3,Alexandrine Parakeet,6.1,1637985000,1035068150,602916850,whole brain
PE1,Grey Parrot,8.2199,2353852857,1474717707,879135150,whole brain
PE2,Grey Parrot,9.4347,2539178750,1657135723,882043028,whole brain
CL2,Rock Pigeon,2.2339,586756667,308976455,277780212,whole brain
CL3,Rock Pigeon,1.9995,518235417,277133700,241101717,whole brain
CL8,Rock Pigeon,2.0519,611433293,343764456,267668836,whole brain
BK1,Red Junglefowl,3.0446,578665000,271959440,306705560,whole brain
BK2,Red Junglefowl,2.7499,466833939,190809468,276024471,whole brain
BK4,Red Junglefowl,2.6639,477075000,199750662,277324338,whole brain
TA1,Barn Owl,5.153671525,1142920417,649397097,493523320,whole brain
TA2,Barn Owl,5.8908,1224295000,690585275,533709725,whole brain
TA3,Barn Owl,5.8085,1268876250,728649511,540226739,whole brain
DN1,Emu,20.3706,2759416667,1314881847,1444534820,whole brain
DN2,Emu,23.2511,2968691667,1355913675,1612777992,whole brain
