id,common_name,mass,cells,neurons,non-neurons,brain_region
CF1,Rook,0.296,68050000,4083000,63967000,brainstem
CF2,Rook,0.321,66950000,4820400,62129600,brainstem
CF3,Rook,0.301,50666667,4002667,46664000,brainstem
CM1,Jackdaw,0.211,39090000,2697210,36392790,brainstem
CM2,Jackdaw,0.207,40800000,4161600,36638400,brainstem
CM4,Jackdaw,0.23,37300000,3319700,33980300,brainstem
CX1,Raven,0.494,78750000,3692455,75057545,brainstem
CX2,Raven,0.5,73171429,3951257,69220171,brainstem
CX4,Raven,0.477,79571429,4047965,75523463,brainstem
CY1,Azure-Winged Magpie,0.153,30620000,2970140,27649860,brainstem
CY2,Azure-Winged Magpie,0.128,21640000,2055800,19584200,brainstem
GG1,Eurasian Jay,0.21,42175000,3151721,39023279,brainstem
GG4,Eurasian Jay,0.202,35533333,3162467,32370867,brainstem
GG5,Eurasian Jay,0.205,35440000,2339040,33100960,brainstem
GR1,Hill Mynah,0.234,38310000,3393171,34916829,brainstem
GR2,Hill Mynah,0.203,38142500,3051400,35091100,brainstem
PM1,Great Tit,0.044,8071875,1436794,6635081,brainstem
PM2,Great Tit,0.043,9576000,1308720,8267280,brainstem
PM4,Great Tit,0.051,11055000,2272316,8782684,brainstem
PP1,Magpie,0.207,40312500,2860139,37452361,brainstem
PP2,Magpie,0.173,39520000,2924480,36595520,brainstem
PP6,Magpie,0.213,42570000,2660625,39909375,brainstem
RR1,Goldcrest,0.023,5200000,1185600,4014400,brainstem
RR2,Goldcrest,0.025,5816667,1372733,4443933,brainstem
RR3,Goldcrest,0.022,4916250,1219230,3697020,brainstem
SV1,Starling,0.096,19754000,1623111,18130889,brainstem
SV5,Starling,0.117,20190000,2336271,17853729,brainstem
SV6,Starling,0.109,23072000,2768640,20303360,brainstem
SA2,Blackcap,0.048,10350000,1624950,8725050,brainstem
SA4,Blackcap,0.05,9386667,1427264,7959403,brainstem
SA6,Blackcap,0.043,10244583,1700601,8543983,brainstem
TG2,Zebra Finch,0.039,8528333,1436977,7091356,brainstem
TG7,Zebra Finch,0.033,10762500,2217075,8545425,brainstem
TG10,Zebra Finch,0.036,8257500,1414097,6843403,brainstem
TM1,Blackbird,0.112,21752500,2914835,18837665,brainstem
TM2,Blackbird,0.112,22767500,2322285,20445215,brainstem
TM3,Blackbird,0.097,22200000,2331000,19869000,brainstem
AA1,Blue and Yellow Macaw,0.632,86281250,4055219,82226031,brainstem
CT1,Sulphur-Crested Cockatoo,0.423,66937500,3815438,63122063,brainstem
CG1,Goffin's Cockatoo,0.301,50958333,2904625,48053708,brainstem
CG2,Goffin's Cockatoo,0.355,62400000,3244800,59155200,brainstem
FP1,Green-Rumped Parrotlet,0.066,12591250,2279016,10312234,brainstem
FP3,Green-Rumped Parrotlet,0.061,14008333,1989183,12019150,brainstem
FP4,Green-Rumped Parrotlet,0.066,13888000,1874880,12013120,brainstem
MU1,Budgerigar,0.091,20500000,2378000,18122000,brainstem
MU3,Budgerigar,0.081,18440000,2204533,16235467,brainstem
MU5,Budgerigar,0.084,16200000,1514556,14685444,brainstem
MM1,Monk Parakeet,0.15,30923750,2164663,28759088,brainstem
MM2,Monk Parakeet,0.172,34275000,2973770,31301230,brainstem
MM3,Monk Parakeet,0.172,31320000,2270700,29049300,brainstem
NK1,Kea,0.509,65379167,3346178,62032989,brainstem
NH1,Cockatiel,0.13,20000000,1180000,18820000,brainstem
NH3,Cockatiel,0.128,27500000,2585000,24915000,brainstem
NH4,Cockatiel,0.157,24306667,2406360,21900307,brainstem
RP2,Eastern Rosella,0.155,24245000,2320593,21924407,brainstem
RP3,Eastern Rosella,0.163,31600000,1809818,29790182,brainstem
RP4,Eastern Rosella,0.151,31966667,2785215,29181452,brainstem
PL1,Alexandrine Parakeet,0.265,47940000,3164040,44775960,brainstem
PL2,Alexandrine Parakeet,0.263,45990000,3111761,42878239,brainstem
PL3,Alexandrine Parakeet,0.286,48675000,2239050,46435950,brainstem
PE1,Grey Parrot,0.474,69800000,3839315,65960685,brainstem
PE2,Grey Parrot,0.434,62160000,2859360,59300640,brainstem
CL2,Rock Pigeon,0.212,41318333,2644373,38673960,brainstem
CL3,Rock Pigeon,0.185,30765000,2038181,28726819,brainstem
CL8,Rock Pigeon,0.193,37325000,2245390,35079610,brainstem
BK1,Red Junglefowl,0.287,46175000,2954109,43220891,brainstem
BK2,Red Junglefowl,0.288,45200000,3706400,41493600,brainstem
BK4,Red Junglefowl,0.304,45750000,2581333,43168667,brainstem
TA1,Barn Owl,0.417,49497500,3852515,45644985,brainstem
TA2,Barn Owl,0.439,64458333,4941806,59516528,brainstem
TA3,Barn Owl,0.426,61406250,5096719,56309531,brainstem
DN1,Emu,1.691,174083333,4143347,169939987,brainstem
DN2,Emu,1.855,205200000,6412500,198787500,brainstem
