id,common_name,mass,cells,neurons,non-neurons,brain_region
CF1,Rook,0.637,628000000,509936000,118064000,cerebellum
CF2,Rook,0.698,660300000,567858000,92442000,cerebellum
CF3,Rook,0.634,626971429,531044800,95926629,cerebellum
CM1,Jackdaw,0.46,410100000,356376900,53723100,cerebellum
CM2,Jackdaw,0.456,405758333,346517617,59240717,cerebellum
CM4,Jackdaw,0.532,484000000,423500000,60500000,cerebellum
CX1,Raven,1.048,906333333,734130000,172203333,cerebellum
CX2,Raven,1.274,956000000,784893268,171106732,cerebellum
CX4,Raven,1.114,920468750,741897813,178570938,cerebellum
CY1,Azure-Winged Magpie,0.295,305200000,268270800,36929200,cerebellum
CY2,Azure-Winged Magpie,0.246,256700000,218708400,37991600,cerebellum
GG1,Eurasian Jay,0.403,515250000,460118250,55131750,cerebellum
GG4,Eurasian Jay,0.405,452750000,403173875,49576125,cerebellum
GG5,Eurasian Jay,0.426,498825000,424768673,74056327,cerebellum
GR1,Hill Mynah,0.378,415350000,362862985,52487015,cerebellum
GR2,Hill Mynah,0.357,419833333,368613667,51219667,cerebellum
PM1,Great Tit,0.085,108290000,88040650,20249350,cerebellum
PM2,Great Tit,0.088,133770000,107350425,26419575,cerebellum
PM4,Great Tit,0.098,160575000,129423450,31151550,cerebellum
PP1,Magpie,0.464,395833333,321794872,74038462,cerebellum
PP2,Magpie,0.413,406229167,348544625,57684542,cerebellum
PP6,Magpie,0.484,439875000,377412750,62462250,cerebellum
RR1,Goldcrest,0.037,72240000,62993280,9246720,cerebellum
RR2,Goldcrest,0.041,75950000,68886650,7063350,cerebellum
RR3,Goldcrest,0.042,78680000,68451600,10228400,cerebellum
SV1,Starling,0.186,236137500,195830042,40307458,cerebellum
SV5,Starling,0.207,247300000,217624000,29676000,cerebellum
SV6,Starling,0.185,198825000,167758594,31066406,cerebellum
SA2,Blackcap,0.086,90580000,72348243,18231757,cerebellum
SA4,Blackcap,0.082,80150000,66845100,13304900,cerebellum
SA6,Blackcap,0.084,108675000,91635833,17039167,cerebellum
TG2,Zebra Finch,0.059,74550000,61408567,13141433,cerebellum
TG7,Zebra Finch,0.046,53475000,45293325,8181675,cerebellum
TG10,Zebra Finch,0.063,74180000,63127180,11052820,cerebellum
TM1,Blackbird,0.198,189600000,148517647,41082353,cerebellum
TM2,Blackbird,0.213,248083333,213599750,34483583,cerebellum
TM3,Blackbird,0.227,248833333,198071333,50762000,cerebellum
AA1,Blue and Yellow Macaw,1.245,786000000,633516000,152484000,cerebellum
CT1,Sulphur-Crested Cockatoo,0.836,703000000,588411000,114589000,cerebellum
CG1,Goffin's Cockatoo,0.547,476250000,407670000,68580000,cerebellum
CG2,Goffin's Cockatoo,0.595,509150000,418521300,90628700,cerebellum
FP1,Green-Rumped Parrotlet,0.097,106500000,90418500,16081500,cerebellum
FP3,Green-Rumped Parrotlet,0.097,110670000,94253950,16416050,cerebellum
FP4,Green-Rumped Parrotlet,0.101,100232143,84195000,16037143,cerebellum
MU1,Budgerigar,0.14,133641667,109318883,24322783,cerebellum
MU3,Budgerigar,0.151,149625000,125086500,24538500,cerebellum
MU5,Budgerigar,0.143,154150000,121778500,32371500,cerebellum
MM1,Monk Parakeet,0.283,235166667,186957500,48209167,cerebellum
MM2,Monk Parakeet,0.279,264666667,221261333,43405333,cerebellum
MM3,Monk Parakeet,0.28,222960000,178368000,44592000,cerebellum
NK1,Kea,0.825,559466667,481141333,78325333,cerebellum
NH1,Cockatiel,0.207,170916667,136733333,34183333,cerebellum
NH3,Cockatiel,0.186,154200000,129528000,24672000,cerebellum
NH4,Cockatiel,0.194,151500000,121200000,30300000,cerebellum
RP2,Eastern Rosella,0.233,272800000,231880000,40920000,cerebellum
RP3,Eastern Rosella,0.246,260166667,220708056,39458611,cerebellum
RP4,Eastern Rosella,0.212,219830000,183338220,36491780,cerebellum
PL1,Alexandrine Parakeet,0.53,443900000,356451700,87448300,cerebellum
PL2,Alexandrine Parakeet,0.459,451250000,373183750,78066250,cerebellum
PL3,Alexandrine Parakeet,0.528,426000000,354432000,71568000,cerebellum
PE1,Grey Parrot,0.643,444000000,351204000,92796000,cerebellum
PE2,Grey Parrot,0.633,512200000,423589400,88610600,cerebellum
CL2,Rock Pigeon,0.341,253440000,203005440,50434560,cerebellum
CL3,Rock Pigeon,0.317,233466667,184672133,48794533,cerebellum
CL8,Rock Pigeon,0.338,249066667,205480000,43586667,cerebellum
BK1,Red Junglefowl,0.396,198480000,159180960,39299040,cerebellum
BK2,Red Junglefowl,0.36,105140000,83901720,21238280,cerebellum
BK4,Red Junglefowl,0.351,124562500,100272813,24289688,cerebellum
TA1,Barn Owl,0.445,223166667,178075556,45091111,cerebellum
TA2,Barn Owl,0.6,291833333,225823413,66009921,cerebellum
TA3,Barn Owl,0.486,291500000,239030000,52470000,cerebellum
DN1,Emu,3.27,1035000000,802125000,232875000,cerebellum
DN2,Emu,3.527,1056325000,827102475,229222525,cerebellum
