order,body_mass,tel_mass
Passeriformes,95.43,2.877
Passeriformes,72.79,2.311
Passeriformes,146.3,3.059
Passeriformes,163,3.371
Passeriformes,17.4,0.675
Passeriformes,17.05,0.624
Passeriformes,16.91,0.725
Passeriformes,182.44,4.52
Passeriformes,165.63,3.593
Passeriformes,187.58,4.466
Passeriformes,4.64,0.207
Passeriformes,4.55,0.218
Passeriformes,4.35,0.25
Passeriformes,71.24,1.306
Passeriformes,73,1.287
Passeriformes,74.98,1.269
Passeriformes,15.27,0.528
Passeriformes,17.96,0.475
Passeriformes,16.52,0.544
Passeriformes,17.76,0.35
Passeriformes,15.17,0.3
Passeriformes,19.25,0.332
Passeriformes,80.75,1.386
Passeriformes,80.61,1.146
Passeriformes,93.69,1.282
Psittaciformes,1008,17.565
Psittaciformes,430,8.072
Psittaciformes,242.3,6.385
Psittaciformes,247.29,6.992
Psittaciformes,95.95,2.74
Psittaciformes,92.89,2.471
Psittaciformes,93.05,2.78
Psittaciformes,708,11.382
Psittaciformes,95.64,1.648
Psittaciformes,103.59,1.507
Psittaciformes,103.7,1.695
Psittaciformes,104.99,1.963
Psittaciformes,98.25,2.067
Psittaciformes,228.5,4.508
Psittaciformes,218,3.932
Psittaciformes,222.4,4.73
Psittaciformes,487,6.421
Psittaciformes,420,7.524
