Region,Value
right amygdala,51
left amygdala,151
right anterior commissure: anterior,115
left anterior commissure: anterior,215
right anterior commissure: posterior,23
left anterior commissure: posterior,103
right arbor vita of cerebellum,247
left arbor vita of cerebellum,47
right forebrain,52
left forebrain,152
right nucleus of stria terminalis,176
left nucleus of stria terminalis,76
right cerebellar cortex,202
left cerebellar cortex,2
right cerebellar peduncle: inferior,123
left cerebellar peduncle: inferior,223
right cerebellar peduncle: middle,45
left cerebellar peduncle: middle,245
right cerebellar peduncle: superior,242
left cerebellar peduncle: superior,222
aqueduct,119
right cerebral cortex: entorhinal cortex,209
left cerebral cortex: entorhinal cortex,230
right cerebral cortex: frontal lobe,64
left cerebral cortex: frontal lobe,190
right cerebral cortex: occipital lobe,130
left cerebral cortex: occipital lobe,164
right cerebral cortex: parieto-temporal lobe,181
left cerebral cortex: parieto-temporal lobe,180
right cerebral peduncle,114
left cerebral peduncle,14
right colliculus: inferior,143
left colliculus: inferior,43
right colliculus: superior,9
left colliculus: superior,109
right corpus callosum,8
left corpus callosum,68
right corticospinal tract/pyramids,218
left corticospinal tract/pyramids,18
right cuneate nucleus,166
left cuneate nucleus,168
right dentate gyrus of hippocampus,16
left dentate gyrus of hippocampus,66
right facial nerve (cranial nerve 7),19
left facial nerve (cranial nerve 7),219
right fasciculus retroflexus,25
left fasciculus retroflexus,125
right fimbria,211
left fimbria,11
right fornix,122
left fornix,22
fourth ventricle,118
right fundus of striatum,54
left fundus of striatum,154
right globus pallidus,44
left globus pallidus,144
right habenular commissure,99
left habenular commissure,199
right hypothalamus,250
left hypothalamus,150
right inferior olivary complex,113
left inferior olivary complex,213
right internal capsule,112
left internal capsule,12
interpedunclar,157
right lateral olfactory tract,101
left lateral olfactory tract,102
right lateral septum,207
left lateral septum,107
right lateral ventricle,57
left lateral ventricle,77
right mammillary bodies,161
left mammillary bodies,61
right mammilothalamic tract,210
left mammilothalamic tract,212
right medial lemniscus/medial longitudinal fasciculus,20
left medial lemniscus/medial longitudinal fasciculus,120
right medial septum,53
left medial septum,153
medulla,174
midbrain,194
right nucleus accumbens,55
left nucleus accumbens,155
right olfactory bulbs,5
left olfactory bulbs,105
right olfactory tubercle,95
left olfactory tubercle,145
right optic tract,216
left optic tract,116
periaqueductal grey,10
pons,187
right pontine nucleus,85
left pontine nucleus,185
posterior commissure,100
right pre-para subiculum,133
left pre-para subiculum,131
right stratum granulosum of hippocampus,13
left stratum granulosum of hippocampus,63
right stria medullaris,225
left stria medullaris,205
right stria terminalis,59
left stria terminalis,159
right striatum,7
left striatum,17
right subependymale zone,240
left subependymale zone,140
right superior olivary complex,124
left superior olivary complex,214
right thalamus,204
left thalamus,4
third ventricle,146
ventral tegmental decussation,156
right CA1 of hippocampus,147
left CA2 of hippocampus,246
right CA2 of hippocampus,148
left CA3 of hippocampus,248
right CA3 of hippocampus,149
left CA4 of hippocampus,249
