Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,11,1,1500,Stim
5,0,11,1,1500,Stim
7,4,10,1,702,Stim
9,0,11,1,1500,Stim
11,0,11,1,1500,Stim
13,0,11,1,1500,Stim
15,0,11,1,1500,Stim
17,0,11,1,1500,Stim
19,0,11,1,1500,Stim
21,4,10,1,539,Stim
23,0,11,1,1500,Stim
25,0,11,1,1500,Stim
27,0,11,1,1500,Stim
29,0,11,1,1500,Stim
31,0,11,1,1500,Stim
33,0,11,1,1500,Stim
35,0,11,1,1500,Stim
37,0,11,1,1500,Stim
39,4,10,1,501,Stim
41,0,11,1,1500,Stim
43,0,11,1,1500,Stim
45,0,11,1,1500,Stim
47,0,11,1,1500,Stim
49,4,10,1,608,Stim
51,0,11,1,1500,Stim
53,0,11,1,1500,Stim
55,0,11,1,1500,Stim
57,0,11,1,1500,Stim
59,0,11,1,1500,Stim
61,0,11,1,1500,Stim
63,0,11,1,1500,Stim
65,4,10,1,508,Stim
67,0,11,1,1500,Stim
69,0,11,1,1500,Stim
71,0,11,1,1500,Stim
73,0,11,1,1500,Stim
75,0,11,1,1500,Stim
77,4,10,1,369,Stim
79,0,11,1,1500,Stim
81,0,11,1,1500,Stim
83,0,11,1,1500,Stim
85,0,11,1,1500,Stim
87,4,10,1,574,Stim
89,0,11,1,1500,Stim
91,0,11,1,1500,Stim
93,0,11,1,1500,Stim
95,4,10,1,532,Stim
97,0,11,1,1500,Stim
99,0,11,1,1500,Stim
101,0,11,1,1500,Stim
103,0,11,1,1500,Stim
105,0,11,1,1500,Stim
107,4,10,1,426,Stim
109,0,11,1,1500,Stim
111,0,11,1,1500,Stim
113,4,11,0,867,Stim
115,0,11,1,1500,Stim
117,0,11,1,1500,Stim
119,4,10,1,671,Stim
121,0,11,1,1500,Stim
123,0,11,1,1500,Stim
125,0,11,1,1500,Stim
127,0,11,1,1500,Stim
129,4,10,1,576,Stim
131,0,11,1,1500,Stim
133,0,11,1,1500,Stim
135,4,10,1,724,Stim
137,0,11,1,1500,Stim
139,0,11,1,1500,Stim
141,0,11,1,1500,Stim
143,4,10,1,513,Stim
145,0,11,1,1500,Stim
147,0,11,1,1500,Stim
149,0,11,1,1500,Stim
151,4,10,1,937,Stim
153,0,11,1,1500,Stim
155,0,11,1,1500,Stim
157,0,11,1,1500,Stim
159,4,10,1,555,Stim
161,0,11,1,1500,Stim
163,0,11,1,1500,Stim
165,4,10,1,577,Stim
167,0,11,1,1500,Stim
169,0,11,1,1500,Stim
171,0,11,1,1500,Stim
173,0,11,1,1500,Stim
175,4,10,1,352,Stim
177,0,11,1,1500,Stim
179,0,11,1,1500,Stim
181,0,11,1,1500,Stim
183,0,11,1,1500,Stim
185,4,10,1,650,Stim
187,0,11,1,1500,Stim
189,0,11,1,1500,Stim
191,0,11,1,1500,Stim
193,4,10,1,454,Stim
195,0,11,1,1500,Stim
197,0,11,1,1500,Stim
199,0,11,1,1500,Stim
201,0,11,1,1500,Stim
203,0,11,1,1500,Stim
205,0,11,1,1500,Stim
207,0,11,1,1500,Stim
209,4,10,1,416,Stim
211,0,11,1,1500,Stim
213,0,11,1,1500,Stim
215,0,11,1,1500,Stim
217,0,11,1,1500,Stim
219,4,10,1,652,Stim
221,0,11,1,1500,Stim
223,0,11,1,1500,Stim
225,0,11,1,1500,Stim
227,0,11,1,1500,Stim
229,0,11,1,1500,Stim
231,4,10,1,540,Stim
233,0,11,1,1500,Stim
235,0,11,1,1500,Stim
237,0,11,1,1500,Stim
239,4,10,1,717,Stim
241,0,11,1,1500,Stim
243,0,11,1,1500,Stim
245,0,11,1,1500,Stim
247,0,11,1,1500,Stim
249,0,11,1,1500,Stim
251,0,11,1,1500,Stim
253,0,11,1,1500,Stim
255,4,10,1,446,Stim
