Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,20,1,2000,Stim
4,4,10,1,469,Stim
5,0,28,1,2000,Stim
6,0,27,1,2000,Stim
7,0,29,1,2000,Stim
8,4,10,1,457,Stim
9,0,27,1,2000,Stim
10,0,21,1,2000,Stim
11,0,20,1,2000,Stim
12,0,23,1,2000,Stim
13,0,24,1,2000,Stim
14,0,26,1,2000,Stim
15,4,10,1,427,Stim
16,0,27,1,2000,Stim
17,0,21,1,2000,Stim
18,4,10,1,338,Stim
19,0,23,1,2000,Stim
20,0,27,1,2000,Stim
21,0,24,1,2000,Stim
22,4,10,1,617,Stim
23,0,25,1,2000,Stim
24,4,10,1,491,Stim
25,0,27,1,2000,Stim
26,0,23,1,2000,Stim
27,0,27,1,2000,Stim
28,0,26,1,2000,Stim
29,4,10,1,376,Stim
30,0,20,1,2000,Stim
31,0,24,1,2000,Stim
32,0,22,1,2000,Stim
33,4,10,1,456,Stim
34,0,21,1,2000,Stim
35,0,27,1,2000,Stim
36,0,28,1,2000,Stim
37,4,10,1,417,Stim
38,0,29,1,2000,Stim
39,0,20,1,2000,Stim
40,4,10,1,357,Stim
41,0,22,1,2000,Stim
42,0,27,1,2000,Stim
43,0,25,1,2000,Stim
44,0,20,1,2000,Stim
45,0,26,1,2000,Stim
46,0,24,1,2000,Stim
47,4,10,1,535,Stim
48,0,27,1,2000,Stim
49,0,23,1,2000,Stim
50,0,21,1,2000,Stim
51,0,23,1,2000,Stim
52,4,10,1,562,Stim
53,0,26,1,2000,Stim
54,0,20,1,2000,Stim
55,0,24,1,2000,Stim
56,0,27,1,2000,Stim
57,0,25,1,2000,Stim
58,4,10,1,414,Stim
59,0,23,1,2000,Stim
60,0,29,1,2000,Stim
61,4,10,1,507,Stim
62,0,25,1,2000,Stim
63,0,27,1,2000,Stim
64,0,21,1,2000,Stim
65,4,10,1,591,Stim
66,0,22,1,2000,Stim
67,0,27,1,2000,Stim
68,4,10,1,486,Stim
69,0,29,1,2000,Stim
70,0,22,1,2000,Stim
71,0,20,1,2000,Stim
72,0,27,1,2000,Stim
73,0,29,1,2000,Stim
74,4,10,1,546,Stim
75,0,28,1,2000,Stim
76,0,20,1,2000,Stim
77,0,22,1,2000,Stim
78,0,25,1,2000,Stim
79,0,26,1,2000,Stim
80,4,10,1,418,Stim
81,0,25,1,2000,Stim
82,0,27,1,2000,Stim
83,0,29,1,2000,Stim
84,0,25,1,2000,Stim
85,0,26,1,2000,Stim
86,4,10,1,433,Stim
87,0,29,1,2000,Stim
88,4,10,1,320,Stim
89,0,24,1,2000,Stim
90,4,10,1,469,Stim
91,0,22,1,2000,Stim
92,0,28,1,2000,Stim
93,0,25,1,2000,Stim
94,0,23,1,2000,Stim
95,0,27,1,2000,Stim
96,0,22,1,2000,Stim
97,0,29,1,2000,Stim
98,0,27,1,2000,Stim
99,0,25,1,2000,Stim
100,4,10,1,360,Stim
101,0,26,1,2000,Stim
102,0,29,1,2000,Stim
103,4,10,1,448,Stim
104,0,20,1,2000,Stim
105,0,22,1,2000,Stim
106,0,27,1,2000,Stim
107,0,26,1,2000,Stim
108,0,25,1,2000,Stim
109,0,27,1,2000,Stim
110,4,10,1,461,Stim
111,0,25,1,2000,Stim
112,0,22,1,2000,Stim
113,0,29,1,2000,Stim
114,0,25,1,2000,Stim
115,0,20,1,2000,Stim
116,0,28,1,2000,Stim
117,4,10,1,381,Stim
118,0,22,1,2000,Stim
119,0,27,1,2000,Stim
120,0,25,1,2000,Stim
121,0,27,1,2000,Stim
122,4,10,1,415,Stim
123,0,26,1,2000,Stim
124,0,29,1,2000,Stim
125,4,10,1,409,Stim
126,0,20,1,2000,Stim
127,0,27,1,2000,Stim
128,0,22,1,2000,Stim
129,4,10,1,392,Stim
130,0,20,1,2000,Stim
131,0,23,1,2000,Stim
132,0,29,1,2000,Stim
133,0,27,1,2000,Stim
134,4,10,1,353,Stim
135,0,24,1,2000,Stim
136,0,20,1,2000,Stim
137,0,23,1,2000,Stim
138,0,21,1,2000,Stim
139,0,28,1,2000,Stim
140,4,10,1,447,Stim
141,0,25,1,2000,Stim
142,0,20,1,2000,Stim
143,0,27,1,2000,Stim
144,0,22,1,2000,Stim
145,4,10,1,584,Stim
146,0,20,1,2000,Stim
147,0,25,1,2000,Stim
