concentration,concentration_in_M,morphine_current,UK_current
10nM,0.00000001,60.1695,238.3374
10nM,0.00000001,79.4054,249.2157
10nM,0.00000001,46.1431,201.8709
30nM,0.00000003,144.2393,276.0037
30nM,0.00000003,87.3136,165.6726
100nM,0.0000001,67.5729,100.5131
100nM,0.0000001,80.2738,124.3281
100nM,0.0000001,129.7872,209.6777
100nM,0.0000001,47.1675,127.2231
100nM,0.0000001,155.747,262.2996
300nM,0.0000003,162.59,209.4812
300nM,0.0000003,133.3819,241.2269
300nM,0.0000003,219.6447,232.9456
300nM,0.0000003,154.9865,242.9224
1uM,0.000001,190.5846,170.7816
1uM,0.000001,147.0483,186.9198
1uM,0.000001,152.7758,214.4993
1uM,0.000001,88.0648,102.8069
3uM,0.000003,150.0194,156.0937
3uM,0.000003,133.4757,180.5164
3uM,0.000003,81.3588,93.488
3uM,0.000003,205.6923,251.7283
10uM,0.00001,182.6006,202.155
10uM,0.00001,197.5828,293.3807
10uM,0.00001,114.7119,161.4037
