Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,3,,2,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,39.941,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,39.965,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,40.600,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,46.805,3,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,48.805,3,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,61.865,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,62.075,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,62.095,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,62.250,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,62.406,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,63.570,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,65.185,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,66.705,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,67.510,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,68.255,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,70.815,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,71.675,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,71.865,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,71.880,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,72.090,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,72.745,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,73.000,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,84.550,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,84.735,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,87.516,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,87.540,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,88.456,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,94.605,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,95.310,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,104.605,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,105.446,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,105.485,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,105.515,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,106.515,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,107.215,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,107.580,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,114.515,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,115.870,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,115.950,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,116.420,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,116.435,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,116.495,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,116.655,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,117.550,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,117.800,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,120.760,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,121.255,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,121.465,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,126.476,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,126.500,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,127.295,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,129.675,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,130.410,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,138.150,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,138.195,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,138.250,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,139.140,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,139.411,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,139.505,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,139.551,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,139.675,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,139.955,1,0,0,0,0,0,0,0,0,0,1
