Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,0.000,0,0,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,0.005,0,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,5.690,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,5.710,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,5.810,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,6.485,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,6.555,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,6.595,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,6.810,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,6.856,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,8.875,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,16.485,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,20.635,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,20.655,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,20.700,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,22.035,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,23.715,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,30.755,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,30.881,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,32.035,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,32.560,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,32.580,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,32.840,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,34.410,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,35.545,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,44.410,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,50.420,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,50.440,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,50.635,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,51.850,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,53.105,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,61.850,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,63.375,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,63.440,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,63.525,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,63.605,1,0,0,0,0,0,0,0,0,0,1
